Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 180.441005, 135.521118, 131.636164, 101.242077
2048, 1503.669904, 898.747808, 934.300944, 518.605224
4096, 2203.326628, 2116.324291, 1049.715737, 974.630409
8192, 2993.077313, 2809.929681, 1356.741298, 1126.028441
16384, 3657.134016, 3205.902214, 1464.166231, 1284.741944
24576, 4284.528813, 3714.594210, 1824.635592, 1501.897364
35840, 3760.759031, 2893.728057, 1420.025280, 1002.016288
49152, 4532.231243, 4429.258649, 1871.386800, 1835.095747
65536, 4685.821868, 4433.134351, 1898.823682, 1808.895564
102400, 4806.838044, 4335.112844, 1915.666280, 1678.174112
204800, 4890.046294, 4671.345216, 1929.108961, 1849.665306
307200, 4931.533658, 4772.160934, 1935.239968, 1867.979863
409600, 4933.454260, 4420.175043, 1936.084524, 1733.366895
512000, 4930.092201, 4584.107902, 1936.181743, 1785.623787
614400, 4936.050283, 4392.375828, 1938.372167, 1692.032681
716800, 4911.169930, 4473.355340, 1935.173874, 1757.501556
819200, 4875.523264, 4543.532566, 1933.206195, 1816.453939
1048576, 4754.605975, 4400.589885, 1919.596997, 1821.478340
2097152, 4311.951184, 4018.550466, 1889.949295, 1814.420452
4194304, 3962.022479, 3675.273682, 1883.485614, 1759.881175
6291456, 3603.353963, 3473.148924, 1872.964413, 1835.000542
8388608, 3538.311618, 3452.147655, 1869.248536, 1845.993327
