Block Size, Number of Trials, Max Performance, Avg Performance
16, 16384, 1230.769287, 983.148499
16, 32768, 1259.532593, 1083.129883
16, 65536, 1475.504395, 1191.901978
16, 131072, 1547.997070, 1195.902954
16, 262144, 1802.816895, 1390.321777
16, 524288, 1825.718750, 1480.770142
16, 1048576, 1776.717529, 1746.919189
32, 16384, 1777.777710, 1246.555664
32, 32768, 1845.045166, 1531.022705
32, 65536, 2464.500732, 2008.119629
32, 131072, 2951.008789, 2432.447266
32, 262144, 2977.826172, 2287.863770
32, 524288, 3291.281494, 2583.992432
32, 1048576, 3155.320068, 3117.128662
64, 16384, 2000.000000, 1425.222534
64, 32768, 1954.198608, 1673.371216
64, 65536, 2488.457031, 2097.817871
64, 131072, 3013.980957, 2357.273682
64, 262144, 3001.832031, 1946.377197
64, 524288, 2693.850586, 2438.555664
64, 1048576, 3173.348877, 3110.326172
128, 16384, 2000.000000, 1440.245728
128, 32768, 1899.814575, 1616.750000
128, 65536, 2589.127686, 2048.580566
128, 131072, 3075.074951, 2555.671143
128, 262144, 3218.860352, 2302.110107
128, 524288, 3347.089111, 2592.585938
128, 1048576, 3148.952637, 3109.399414
